snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId,qof
185796008#,Stop smoking monitoring telephone invite (procedure),Active smoker,568830014#,1,1,2,128361000006110#,Stop smoking monitoring telephone invite,9OO8,9OO8.00,285798012,NA,37,1
185798009#,Stop smoking monitoring delete,Active smoker,285805010#,1,1,2,285805010#,Stop smoking monitoring delete,9OO9,9OO9.00,285805010,NA,37,0
185798009#,Stop smoking monitoring delete (finding),Active smoker,568832018#,1,1,2,285805010#,Stop smoking monitoring delete,9OO9,9OO9.00,285805010,NA,37,0
185799001#,Stop smoking monitoring check done,Active smoker,285806011#,1,1,2,128381000006117#,Stop smoking monitoring check done,9OOA,9OOA.00,285806011,NA,37,0
185799001#,Stop smoking monitoring check done (finding),Active smoker,568833011#,1,1,2,128381000006117#,Stop smoking monitoring check done,9OOA,9OOA.00,285806011,NA,37,0
46802002#,Smokers' cough,Active smoker,78013015#,1,1,2,78013015#,Smokers' cough,H3101,H310100,78013015,NA,32,0
46802002#,Smokers' cough,Active smoker,78013015#,1,1,2,3256651000006113#,Cigarette cough,^ESCTCI325665,NA,494650019,NA,32,0
46802002#,Cigarette cough,Active smoker,494650019#,1,1,2,78013015#,Smokers' cough,H3101,H310100,78013015,NA,32,0
46802002#,Cigarette cough,Active smoker,494650019#,1,1,2,3256651000006113#,Cigarette cough,^ESCTCI325665,NA,494650019,NA,32,0
46802002#,Smokers' cough (disorder),Active smoker,784192018#,1,1,2,78013015#,Smokers' cough,H3101,H310100,78013015,NA,32,0
46802002#,Smokers' cough (disorder),Active smoker,784192018#,1,1,2,3256651000006113#,Cigarette cough,^ESCTCI325665,NA,494650019,NA,32,0
266921000#,Ex-trivial cigarette smoker (<1/day),Ex-smoker,397736014#,1,1,2,250363016#,Ex-trivial cigarette smoker (<1/day),1377,1377,397736014,NA,17,1
266921000#,Ex-trivial cigarette smoker (<1/day) (life style),Ex-smoker,659473015#,1,1,2,250363016#,Ex-trivial cigarette smoker (<1/day),1377,1377,397736014,NA,17,1
266921000#,Ex-trivial cigarette smoker (<1/day) (finding),Ex-smoker,1472196012#,1,1,2,250363016#,Ex-trivial cigarette smoker (<1/day),1377,1377,397736014,NA,17,1
266922007#,Ex-light cigarette smoker (1-9/day),Ex-smoker,397737017#,1,1,2,250364010#,Ex-light cigarette smoker (1-9/day),1378,1378,397737017,NA,17,1
266922007#,Ex-light cigarette smoker (1-9/day) (life style),Ex-smoker,659474014#,1,1,2,250364010#,Ex-light cigarette smoker (1-9/day),1378,1378,397737017,NA,17,1
266922007#,Ex-light cigarette smoker (1-9/day) (finding),Ex-smoker,1472197015#,1,1,2,250364010#,Ex-light cigarette smoker (1-9/day),1378,1378,397737017,NA,17,1
266923002#,Ex-moderate cigarette smoker (10-19/day),Ex-smoker,397738010#,1,1,2,250365011#,Ex-moderate cigarette smoker (10-19/day),1379,1379,397738010,NA,17,1
266923002#,Ex-moderate cigarette smoker (10-19/day) (life style),Ex-smoker,659475010#,1,1,2,250365011#,Ex-moderate cigarette smoker (10-19/day),1379,1379,397738010,NA,17,1
266923002#,Ex-moderate cigarette smoker (10-19/day) (finding),Ex-smoker,1472198013#,1,1,2,250365011#,Ex-moderate cigarette smoker (10-19/day),1379,1379,397738010,NA,17,1
266924008#,Ex-heavy cigarette smoker (20-39/day),Ex-smoker,397739019#,1,1,2,250366012#,Ex-heavy cigarette smoker (20-39/day),137A,137A.00,397739019,NA,17,1
266924008#,Ex-heavy cigarette smoker (20-39/day) (life style),Ex-smoker,659476011#,1,1,2,250366012#,Ex-heavy cigarette smoker (20-39/day),137A,137A.00,397739019,NA,17,1
266924008#,Ex-heavy cigarette smoker (20-39/day) (finding),Ex-smoker,1472199017#,1,1,2,250366012#,Ex-heavy cigarette smoker (20-39/day),137A,137A.00,397739019,NA,17,1
266925009#,Ex-very heavy cigarette smoker (40+/day),Ex-smoker,397740017#,1,1,2,250367015#,Ex-very heavy cigarette smoker (40+/day),137B,137B.00,397740017,NA,17,1
266925009#,Ex-very heavy cigarette smoker (40+/day) (life style),Ex-smoker,659477019#,1,1,2,250367015#,Ex-very heavy cigarette smoker (40+/day),137B,137B.00,397740017,NA,17,1
266925009#,Ex-very heavy cigarette smoker (40+/day) (finding),Ex-smoker,1472200019#,1,1,2,250367015#,Ex-very heavy cigarette smoker (40+/day),137B,137B.00,397740017,NA,17,1
8517006#,Former smoker,Ex-smoker,15046012#,1,1,2,298701000000114#,History of tobacco use,ZV116,ZV11600,15047015,NA,17,1
8517006#,Former smoker,Ex-smoker,15046012#,1,1,2,250371017#,Ex-smoker - amount unknown,137F,137F.00,15047015,NA,17,1
8517006#,Former smoker,Ex-smoker,15046012#,1,1,2,2636041000006110#,Cessation of smoking,^ESCTCE263604,NA,15048013,NA,17,1
8517006#,Former smoker,Ex-smoker,15046012#,1,1,2,649841000006110#,Ex-smoker,137S,137S.00,15047015,NA,17,1
8517006#,Ex-smoker,Ex-smoker,15047015#,1,1,2,298701000000114#,History of tobacco use,ZV116,ZV11600,15047015,NA,17,1
8517006#,Ex-smoker,Ex-smoker,15047015#,1,1,2,250371017#,Ex-smoker - amount unknown,137F,137F.00,15047015,NA,17,1
8517006#,Ex-smoker,Ex-smoker,15047015#,1,1,2,2636041000006110#,Cessation of smoking,^ESCTCE263604,NA,15048013,NA,17,1
8517006#,Ex-smoker,Ex-smoker,15047015#,1,1,2,649841000006110#,Ex-smoker,137S,137S.00,15047015,NA,17,1
8517006#,Cessation of smoking,Ex-smoker,15048013#,1,1,2,298701000000114#,History of tobacco use,ZV116,ZV11600,15047015,NA,17,1
8517006#,Cessation of smoking,Ex-smoker,15048013#,1,1,2,250371017#,Ex-smoker - amount unknown,137F,137F.00,15047015,NA,17,1
8517006#,Cessation of smoking,Ex-smoker,15048013#,1,1,2,2636041000006110#,Cessation of smoking,^ESCTCE263604,NA,15048013,NA,17,1
8517006#,Cessation of smoking,Ex-smoker,15048013#,1,1,2,649841000006110#,Ex-smoker,137S,137S.00,15047015,NA,17,1
8517006#,Ex-smoker (life style),Ex-smoker,827168010#,1,1,2,298701000000114#,History of tobacco use,ZV116,ZV11600,15047015,NA,17,1
8517006#,Ex-smoker (life style),Ex-smoker,827168010#,1,1,2,250371017#,Ex-smoker - amount unknown,137F,137F.00,15047015,NA,17,1
8517006#,Ex-smoker (life style),Ex-smoker,827168010#,1,1,2,2636041000006110#,Cessation of smoking,^ESCTCE263604,NA,15048013,NA,17,1
8517006#,Ex-smoker (life style),Ex-smoker,827168010#,1,1,2,649841000006110#,Ex-smoker,137S,137S.00,15047015,NA,17,1
8517006#,Ex-smoker (finding),Ex-smoker,1472659019#,1,1,2,298701000000114#,History of tobacco use,ZV116,ZV11600,15047015,NA,17,1
8517006#,Ex-smoker (finding),Ex-smoker,1472659019#,1,1,2,250371017#,Ex-smoker - amount unknown,137F,137F.00,15047015,NA,17,1
8517006#,Ex-smoker (finding),Ex-smoker,1472659019#,1,1,2,2636041000006110#,Cessation of smoking,^ESCTCE263604,NA,15048013,NA,17,1
8517006#,Ex-smoker (finding),Ex-smoker,1472659019#,1,1,2,649841000006110#,Ex-smoker,137S,137S.00,15047015,NA,17,1
281018007#,Ex-cigarette smoker,Ex-smoker,418914010#,1,1,2,418914010#,Ex-cigarette smoker,137j,137j.00,418914010,NA,17,1
281018007#,Ex-cigarette smoker (life style),Ex-smoker,674503019#,1,1,2,418914010#,Ex-cigarette smoker,137j,137j.00,418914010,NA,17,1
281018007#,Ex-cigarette smoker (finding),Ex-smoker,1472359013#,1,1,2,418914010#,Ex-cigarette smoker,137j,137j.00,418914010,NA,17,1
160617001#,Stopped smoking,Ex-smoker,250373019#,1,1,2,250373019#,Stopped smoking,137K,137K.00,250373019,NA,17,1
160617001#,Stopped smoking (life style),Ex-smoker,541551018#,1,1,2,250373019#,Stopped smoking,137K,137K.00,250373019,NA,17,1
160617001#,Stopped smoking (finding),Ex-smoker,1470251017#,1,1,2,250373019#,Stopped smoking,137K,137K.00,250373019,NA,17,1
160620009#,Ex-pipe smoker,Ex-smoker,250376010#,1,1,2,649831000006117#,Ex-pipe smoker,137N,137N.00,250376010,NA,17,1
160620009#,Ex-pipe smoker (life style),Ex-smoker,541554014#,1,1,2,649831000006117#,Ex-pipe smoker,137N,137N.00,250376010,NA,17,1
160620009#,Ex-pipe smoker (finding),Ex-smoker,1470253019#,1,1,2,649831000006117#,Ex-pipe smoker,137N,137N.00,250376010,NA,17,1
160621008#,Ex-cigar smoker,Ex-smoker,250377018#,1,1,2,649821000006115#,Ex-cigar smoker,137O,137O.00,250377018,NA,17,1
160621008#,Ex-cigar smoker (life style),Ex-smoker,541555010#,1,1,2,649821000006115#,Ex-cigar smoker,137O,137O.00,250377018,NA,17,1
160621008#,Ex-cigar smoker (finding),Ex-smoker,1470254013#,1,1,2,649821000006115#,Ex-cigar smoker,137O,137O.00,250377018,NA,17,1
160625004#,Date ceased smoking,Ex-smoker,250385010#,1,1,2,250385010#,Date ceased smoking,137T,137T.00,250385010,NA,17,1
160625004#,Date ceased smoking (observable entity),Ex-smoker,541560014#,1,1,2,250385010#,Date ceased smoking,137T,137T.00,250385010,NA,17,1
266919005#,Never smoked,Non-smoker,397731016#,1,1,2,5495921000006119#,Never smoked,^ESCTNE549592,NA,397731016,NA,17,1
266919005#,Never smoked,Non-smoker,397731016#,1,1,2,397732011#,Never smoked tobacco,1371,1371,397732011,NA,17,1
266919005#,Never smoked tobacco,Non-smoker,397732011#,1,1,2,5495921000006119#,Never smoked,^ESCTNE549592,NA,397731016,NA,17,1
266919005#,Never smoked tobacco,Non-smoker,397732011#,1,1,2,397732011#,Never smoked tobacco,1371,1371,397732011,NA,17,1
266919005#,Never smoked tobacco (life style),Non-smoker,659471018#,1,1,2,5495921000006119#,Never smoked,^ESCTNE549592,NA,397731016,NA,17,1
266919005#,Never smoked tobacco (life style),Non-smoker,659471018#,1,1,2,397732011#,Never smoked tobacco,1371,1371,397732011,NA,17,1
266919005#,Never smoked tobacco (finding),Non-smoker,1472194010#,1,1,2,5495921000006119#,Never smoked,^ESCTNE549592,NA,397731016,NA,17,1
266919005#,Never smoked tobacco (finding),Non-smoker,1472194010#,1,1,2,397732011#,Never smoked tobacco,1371,1371,397732011,NA,17,1
8392000#,Non-smoker,Non-smoker,14866014#,1,1,2,14866014#,Non-smoker,1371-1,1371.11,14866014,NA,17,0
8392000#,Non-smoker (life style),Non-smoker,825655016#,1,1,2,14866014#,Non-smoker,1371-1,1371.11,14866014,NA,17,0
8392000#,Non-smoker (finding),Non-smoker,1472646010#,1,1,2,14866014#,Non-smoker,1371-1,1371.11,14866014,NA,17,0
160618006#,Current non-smoker,Non-smoker,250374013#,1,1,2,903051000006112#,Tobacco Consumption Nil,137L-99,137L.99,9.03E+14,NA,17,0
160618006#,Current non-smoker,Non-smoker,250374013#,1,1,2,250374013#,Current non-smoker,137L,137L.00,250374013,NA,17,0
160618006#,Current non-smoker (life style),Non-smoker,541552013#,1,1,2,903051000006112#,Tobacco Consumption Nil,137L-99,137L.99,9.03E+14,NA,17,0
160618006#,Current non-smoker (life style),Non-smoker,541552013#,1,1,2,250374013#,Current non-smoker,137L,137L.00,250374013,NA,17,0
160618006#,Current non-smoker (finding),Non-smoker,1470252012#,1,1,2,903051000006112#,Tobacco Consumption Nil,137L-99,137L.99,9.03E+14,NA,17,0
160618006#,Current non-smoker (finding),Non-smoker,1470252012#,1,1,2,250374013#,Current non-smoker,137L,137L.00,250374013,NA,17,0
160622001#,Smoker (& cigarette),Active smoker,250378011#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160622001#,Cigarette smoker,Active smoker,250379015#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160622001#,Smoker,Active smoker,250380017#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160622001#,Smoker (& cigarette),Active smoker,541556011#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160622001#,Smoker (& cigarette) (finding),Active smoker,2750565014#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160623006#,Smoking: [started] or [restarted],Active smoker,250381018#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160623006#,Smoking started,Active smoker,250382013#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160623006#,Smoking restarted,Active smoker,250383015#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160623006#,Smoking: [started] or [restarted],Active smoker,541558012#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160623006#,Smoking: [started] or [restarted] (finding),Active smoker,2715679013#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
365981007#,Tobacco smoking behavior - finding,Active smoker,489483015#,1,1,2,6282351000006119#,Smoking,^ESCTSM628235,NA,1490791014,NA,17,0
365981007#,Tobacco smoking behavior - finding,Active smoker,489483015#,1,1,2,6282331000006114#,Tobacco smoking behaviour - finding,^ESCTTO628233,NA,1206652017,NA,17,0
365981007#,Tobacco smoking behavior - finding,Active smoker,489483015#,1,1,2,6282341000006116#,Tobacco smoking behavior - finding,^ESCTTO628234,NA,489483015,NA,17,0
365981007#,Tobacco smoking behavior - finding,Active smoker,489483015#,1,1,2,6282361000006117#,Finding of tobacco smoking behavior,^ESCTFI628236,NA,2766541019,NA,17,0
365981007#,Finding of tobacco smoking behavior (finding),Active smoker,772426012#,1,1,2,6282351000006119#,Smoking,^ESCTSM628235,NA,1490791014,NA,17,0
365981007#,Finding of tobacco smoking behavior (finding),Active smoker,772426012#,1,1,2,6282331000006114#,Tobacco smoking behaviour - finding,^ESCTTO628233,NA,1206652017,NA,17,0
365981007#,Finding of tobacco smoking behavior (finding),Active smoker,772426012#,1,1,2,6282341000006116#,Tobacco smoking behavior - finding,^ESCTTO628234,NA,489483015,NA,17,0
365981007#,Finding of tobacco smoking behavior (finding),Active smoker,772426012#,1,1,2,6282361000006117#,Finding of tobacco smoking behavior,^ESCTFI628236,NA,2766541019,NA,17,0
365981007#,Tobacco smoking behaviour - finding,Active smoker,1206652017#,1,1,2,6282351000006119#,Smoking,^ESCTSM628235,NA,1490791014,NA,17,0
365981007#,Tobacco smoking behaviour - finding,Active smoker,1206652017#,1,1,2,6282331000006114#,Tobacco smoking behaviour - finding,^ESCTTO628233,NA,1206652017,NA,17,0
365981007#,Tobacco smoking behaviour - finding,Active smoker,1206652017#,1,1,2,6282341000006116#,Tobacco smoking behavior - finding,^ESCTTO628234,NA,489483015,NA,17,0
365981007#,Tobacco smoking behaviour - finding,Active smoker,1206652017#,1,1,2,6282361000006117#,Finding of tobacco smoking behavior,^ESCTFI628236,NA,2766541019,NA,17,0
365981007#,Smoking,Active smoker,1490791014#,1,1,2,6282351000006119#,Smoking,^ESCTSM628235,NA,1490791014,NA,17,0
365981007#,Smoking,Active smoker,1490791014#,1,1,2,6282331000006114#,Tobacco smoking behaviour - finding,^ESCTTO628233,NA,1206652017,NA,17,0
365981007#,Smoking,Active smoker,1490791014#,1,1,2,6282341000006116#,Tobacco smoking behavior - finding,^ESCTTO628234,NA,489483015,NA,17,0
365981007#,Smoking,Active smoker,1490791014#,1,1,2,6282361000006117#,Finding of tobacco smoking behavior,^ESCTFI628236,NA,2766541019,NA,17,0
365981007#,Finding of tobacco smoking behavior,Active smoker,2766541019#,1,1,2,6282351000006119#,Smoking,^ESCTSM628235,NA,1490791014,NA,17,0
365981007#,Finding of tobacco smoking behavior,Active smoker,2766541019#,1,1,2,6282331000006114#,Tobacco smoking behaviour - finding,^ESCTTO628233,NA,1206652017,NA,17,0
365981007#,Finding of tobacco smoking behavior,Active smoker,2766541019#,1,1,2,6282341000006116#,Tobacco smoking behavior - finding,^ESCTTO628234,NA,489483015,NA,17,0
365981007#,Finding of tobacco smoking behavior,Active smoker,2766541019#,1,1,2,6282361000006117#,Finding of tobacco smoking behavior,^ESCTFI628236,NA,2766541019,NA,17,0
365981007#,Finding of tobacco smoking behaviour,Active smoker,3781587017#,1,1,2,6282351000006119#,Smoking,^ESCTSM628235,NA,1490791014,NA,17,0
365981007#,Finding of tobacco smoking behaviour,Active smoker,3781587017#,1,1,2,6282331000006114#,Tobacco smoking behaviour - finding,^ESCTTO628233,NA,1206652017,NA,17,0
365981007#,Finding of tobacco smoking behaviour,Active smoker,3781587017#,1,1,2,6282341000006116#,Tobacco smoking behavior - finding,^ESCTTO628234,NA,489483015,NA,17,0
365981007#,Finding of tobacco smoking behaviour,Active smoker,3781587017#,1,1,2,6282361000006117#,Finding of tobacco smoking behavior,^ESCTFI628236,NA,2766541019,NA,17,0
230059006#,Trivial cigarette smoker,Active smoker,344796015#,1,1,2,11904991000006116#,Occasional cigarette smoker,^ESCT1190499,NA,344797012,NA,17,1
230059006#,Trivial cigarette smoker,Active smoker,344796015#,1,1,2,5003141000006118#,Trivial cigarette smoker,^ESCTTR500314,NA,344796015,NA,31,1
230059006#,Occasional cigarette smoker,Active smoker,344797012#,1,1,2,11904991000006116#,Occasional cigarette smoker,^ESCT1190499,NA,344797012,NA,17,1
230059006#,Occasional cigarette smoker,Active smoker,344797012#,1,1,2,5003141000006118#,Trivial cigarette smoker,^ESCTTR500314,NA,344796015,NA,31,1
230059006#,Occasional cigarette smoker (life style),Active smoker,617821019#,1,1,2,11904991000006116#,Occasional cigarette smoker,^ESCT1190499,NA,344797012,NA,17,1
230059006#,Occasional cigarette smoker (life style),Active smoker,617821019#,1,1,2,5003141000006118#,Trivial cigarette smoker,^ESCTTR500314,NA,344796015,NA,31,1
230059006#,Occasional cigarette smoker (finding),Active smoker,1471856014#,1,1,2,11904991000006116#,Occasional cigarette smoker,^ESCT1190499,NA,344797012,NA,17,1
230059006#,Occasional cigarette smoker (finding),Active smoker,1471856014#,1,1,2,5003141000006118#,Trivial cigarette smoker,^ESCTTR500314,NA,344796015,NA,31,1
230060001#,Light cigarette smoker,Active smoker,344798019#,1,1,2,5003151000006116#,Light cigarette smoker,^ESCTLI500315,NA,344798019,NA,17,1
230060001#,Light cigarette smoker (life style),Active smoker,617822014#,1,1,2,5003151000006116#,Light cigarette smoker,^ESCTLI500315,NA,344798019,NA,17,1
230060001#,Light cigarette smoker (finding),Active smoker,1471857017#,1,1,2,5003151000006116#,Light cigarette smoker,^ESCTLI500315,NA,344798019,NA,17,1
230062009#,Moderate cigarette smoker,Active smoker,344801013#,1,1,2,5003161000006119#,Moderate cigarette smoker,^ESCTMO500316,NA,344801013,NA,17,1
230062009#,Moderate cigarette smoker (life style),Active smoker,617824010#,1,1,2,5003161000006119#,Moderate cigarette smoker,^ESCTMO500316,NA,344801013,NA,17,1
230062009#,Moderate cigarette smoker (finding),Active smoker,1471858010#,1,1,2,5003161000006119#,Moderate cigarette smoker,^ESCTMO500316,NA,344801013,NA,17,1
230063004#,Heavy cigarette smoker,Active smoker,344802018#,1,1,2,5003171000006114#,Heavy cigarette smoker,^ESCTHE500317,NA,344802018,NA,17,1
230063004#,Heavy cigarette smoker (life style),Active smoker,617825011#,1,1,2,5003171000006114#,Heavy cigarette smoker,^ESCTHE500317,NA,344802018,NA,17,1
230063004#,Heavy cigarette smoker (finding),Active smoker,1471859019#,1,1,2,5003171000006114#,Heavy cigarette smoker,^ESCTHE500317,NA,344802018,NA,17,1
230064005#,Very heavy cigarette smoker,Active smoker,344803011#,1,1,2,5003181000006112#,Very heavy cigarette smoker,^ESCTVE500318,NA,344803011,NA,17,1
230064005#,Very heavy cigarette smoker (life style),Active smoker,617826012#,1,1,2,5003181000006112#,Very heavy cigarette smoker,^ESCTVE500318,NA,344803011,NA,17,1
230064005#,Very heavy cigarette smoker (finding),Active smoker,1471860012#,1,1,2,5003181000006112#,Very heavy cigarette smoker,^ESCTVE500318,NA,344803011,NA,17,1
230065006#,Chain smoker,Active smoker,344804017#,1,1,2,5003191000006110#,Chain smoker,^ESCTCH500319,NA,344804017,NA,31,1
230065006#,Chain smoker (life style),Active smoker,617827015#,1,1,2,5003191000006110#,Chain smoker,^ESCTCH500319,NA,344804017,NA,31,1
230065006#,Chain smoker (finding),Active smoker,1471861011#,1,1,2,5003191000006110#,Chain smoker,^ESCTCH500319,NA,344804017,NA,31,1
228486009#,Time since stopped smoking,Ex-smoker,342573017#,1,1,2,4980561000006117#,Time since stopped smoking,^ESCTTI498056,NA,342573017,NA,31,1
228486009#,Time since stopped smoking (observable entity),Ex-smoker,616079012#,1,1,2,4980561000006117#,Time since stopped smoking,^ESCTTI498056,NA,342573017,NA,31,1
310429001#,Smoking monitoring invitation,Active smoker,454002012#,1,1,2,5999811000006115#,Smoking monitoring invitation,^ESCTSM599981,NA,454002012,NA,37,1
310429001#,Smoking monitoring invitation (procedure),Active smoker,706988013#,1,1,2,5999811000006115#,Smoking monitoring invitation,^ESCTSM599981,NA,454002012,NA,37,1
449368009#,Stopped smoking during pregnancy (finding),Ex-smoker,2897302015#,1,1,2,7368961000006112#,Stopped smoking during pregnancy,^ESCTST736896,NA,2901763017,NA,31,0
449368009#,Stopped smoking during pregnancy,Ex-smoker,2901763017#,1,1,2,7368961000006112#,Stopped smoking during pregnancy,^ESCTST736896,NA,2901763017,NA,31,0
449369001#,Stopped smoking before pregnancy (finding),Ex-smoker,2897303013#,1,1,2,7368971000006117#,Stopped smoking before pregnancy,^ESCTST736897,NA,2901764011,NA,31,0
449369001#,Stopped smoking before pregnancy,Ex-smoker,2901764011#,1,1,2,7368971000006117#,Stopped smoking before pregnancy,^ESCTST736897,NA,2901764011,NA,31,0
449345000#,Smoked before confirmation of pregnancy (finding),Ex-smoker,2897294013#,1,1,2,7368651000006119#,Smoked before confirmation of pregnancy,^ESCTSM736865,NA,2901755018,NA,31,0
449345000#,Smoked before confirmation of pregnancy (finding),Ex-smoker,2897294013#,1,1,2,7368661000006117#,Smoker before confirmation of pregnancy,^ESCTSM736866,NA,1.78E+15,NA,31,0
449345000#,Smoked before confirmation of pregnancy,Ex-smoker,2901755018#,1,1,2,7368651000006119#,Smoked before confirmation of pregnancy,^ESCTSM736865,NA,2901755018,NA,31,0
449345000#,Smoked before confirmation of pregnancy,Ex-smoker,2901755018#,1,1,2,7368661000006117#,Smoker before confirmation of pregnancy,^ESCTSM736866,NA,1.78E+15,NA,31,0
266928006#,Ex-cigarette smoker amount unknown,Ex-smoker,397744014#,1,1,2,903041000006110#,EX-Smoker NOS,137F-99,137F.99,9.03E+14,NA,17,1
266928006#,Ex-cigarette smoker amount unknown,Ex-smoker,397744014#,1,1,2,5496031000006112#,Ex-cigarette smoker amount unknown,^ESCTEX549603,NA,397744014,NA,17,1
266928006#,Ex-cigarette smoker amount unknown (life style),Ex-smoker,659482014#,1,1,2,903041000006110#,EX-Smoker NOS,137F-99,137F.99,9.03E+14,NA,17,1
266928006#,Ex-cigarette smoker amount unknown (life style),Ex-smoker,659482014#,1,1,2,5496031000006112#,Ex-cigarette smoker amount unknown,^ESCTEX549603,NA,397744014,NA,17,1
266928006#,Ex-cigarette smoker amount unknown (finding),Ex-smoker,1472201015#,1,1,2,903041000006110#,EX-Smoker NOS,137F-99,137F.99,9.03E+14,NA,17,1
266928006#,Ex-cigarette smoker amount unknown (finding),Ex-smoker,1472201015#,1,1,2,5496031000006112#,Ex-cigarette smoker amount unknown,^ESCTEX549603,NA,397744014,NA,17,1
160601007#,Non-smoker,Non-smoker,250352019#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160601007#,Never smoked tobacco,Non-smoker,250353012#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160601007#,Non-smoker (& [never smoked tobacco]),Non-smoker,250354018#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160601007#,Non-smoker (& [never smoked tobacco]),Non-smoker,541533019#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
160601007#,Non-smoker (& [never smoked tobacco]) (finding),Non-smoker,2715673014#,1,1,2,NA#,NA,NA,NA,NA,NA,NA,0
836001000000109#,NA,Active smoker,NA#,0,1,1,2170961000000116#,Waterpipe tobacco consumption,137o,137o.00,2.17E+15,NA,17,1
506491000000102#,NA,Active smoker,NA#,0,1,1,1125741000000111#,Brief intervention for smoking cessation,67H6,67H6.00,1.13E+15,NA,17,0
783011000000105#,NA,Active smoker,NA#,0,1,1,1750931000000118#,Stop smoking service opportunity signposted,8CdB,8CdB.00,1.75E+15,NA,32,0
505581000000108#,NA,Active smoker,NA#,0,1,1,1123541000000118#,Stop smoking face to face follow-up,8HBM,8HBM.00,1.12E+15,NA,40,0
505281000000106#,NA,Active smoker,NA#,0,1,1,8190531000006112#,Referral to NHS (National Health Service) stop smoking service,^ESCTRE819053,NA,1.13E+15,NA,40,1
505281000000106#,NA,Active smoker,NA#,0,1,1,1715591000006117#,Referral to National Health Service stop smoking service,8HkQ,8HkQ.00,1.12E+15,NA,40,1
527151000000107#,NA,Active smoker,NA#,0,1,1,1176421000000118#,Smoking cessation advice declined,8IAj,8IAj.00,1.18E+15,NA,32,1
1087441000000106#,NA,Active smoker,NA#,0,1,1,1175011000000112#,Smoking cessation programme declined,8IEK,8IEK.00,2.72E+15,NA,32,1
822591000000108#,NA,Active smoker,NA#,0,1,1,2141561000000115#,Smoking cessation drug therapy declined,8IEM,8IEM.00,2.14E+15,NA,32,0
871641000000105#,NA,Active smoker,NA#,0,1,1,2251871000000112#,Referral to smoking cessation service declined,8IEo,8IEo.00,2.25E+15,NA,32,1
871661000000106#,NA,Active smoker,NA#,0,1,1,2251911000000114#,Referral to smoking cessation service,8T08,8T08.00,2.25E+15,NA,32,1
375851000000108#,NA,Active smoker,NA#,0,1,1,1704561000006112#,Referred for chronic obstructive pulmonary disease structured smoking assessment,9kf1,9kf1.00,7.39E+14,NA,37,0
375851000000108#,NA,Active smoker,NA#,0,1,1,1704551000006110#,Referred for COPD structured smoking assessment,9kf1-1,9kf1.11,7.39E+14,NA,37,0
25261000000107#,NA,Active smoker,NA#,0,1,1,62881000000117#,DNA - Did not attend smoking cessation clinic,9N4M,9N4M.00,6.29E+13,NA,37,0
25261000000107#,NA,Active smoker,NA#,0,1,1,8012751000006116#,Did not attend smoking cessation clinic,^ESCTDI801275,NA,2.16E+15,NA,37,0
767641000000109#,NA,Active smoker,NA#,0,1,1,1709641000000115#,Referral for smoking cessation service offered,9NS02,9NS0200,1.71E+15,NA,37,1
714001000000108#,NA,Active smoker,NA#,0,1,1,1694421000006112#,Stop smoking monitoring admin.,9OO-z366,NA,1.69E+15,NA,37,0
714001000000108#,NA,Active smoker,NA#,0,1,1,21681000000118#,Anti-smoking monitoring admin.,9OO,9OO..00,1.57E+15,NA,37,0
714001000000108#,NA,Active smoker,NA#,0,1,1,16261000000110#,Stop smoking monitoring administration,9OOZ,9OOZ.00,1.57E+15,NA,37,0
714001000000108#,NA,Active smoker,NA#,0,1,1,21691000000116#,Anti-smoking monitoring administration,9OO-2,9OO..12,1.57E+15,NA,37,0
714021000000104#,NA,Active smoker,NA#,0,1,1,25281000000119#,Stop smoking clinic administration,9OO-1,9OO..11,1.57E+15,NA,37,0
783381000000101#,NA,Active smoker,NA#,0,1,1,8244731000006115#,Stop smoking invitation text message,^ESCTST824473,NA,1.75E+15,NA,37,1
783381000000101#,NA,Active smoker,NA#,0,1,1,1751721000000113#,Stop smoking invitation short message service text message,9OOB,9OOB.00,1.75E+15,NA,37,1
783401000000101#,NA,Active smoker,NA#,0,1,1,8244751000006110#,Stop smoking invitation first text message,^ESCTST824475,NA,1.75E+15,NA,37,1
783401000000101#,NA,Active smoker,NA#,0,1,1,1785671000006116#,Stop smoking invitation first short message service text message,9OOB0,9OOB000,1.75E+15,NA,37,1
